date,description,amount
2024-02-11,Google One,2.0
2024-02-11,Adobe Creative Cloud,55.14
2024-02-12,Substack VIP,7.99
2024-02-12,DoorDash Order,21.24
2024-02-12,PlayStation Plus,18.09
2024-02-12,Gym Membership,50.19
2024-02-13,GitHub Pro,3.96
2024-02-13,ChatGPT Plus,20.12
2024-02-14,Adobe Creative Cloud,55.62
2024-02-14,PlayStation Plus,18.2
2024-02-14,Spotify,10.93
2024-02-14,NYTimes Digital,3.99
2024-02-14,Disney+,13.79
2024-02-15,ChatGPT Plus,20.06
2024-02-15,Substack VIP,7.99
2024-02-15,iCloud Storage,2.97
2024-02-15,iCloud Storage,3.01
2024-02-15,Notion Pro,10.05
2024-02-15,AWS Hosting,44.88
2024-02-16,Gym Membership,49.46
2024-02-17,iCloud Storage,3.02
2024-02-17,Netflix,15.86
2024-02-18,Notion Pro,10.03
2024-02-18,Starbucks Coffee,4.66
2024-02-18,ChatGPT Plus,19.98
2024-02-18,GitHub Pro,4.07
2024-02-20,Uber Trip,36.57
2024-02-20,PlayStation Plus,17.97
2024-02-21,Uber Trip,40.54
2024-02-21,NYTimes Digital,4.05
2024-02-21,Uber Trip,19.44
2024-02-21,Notion Pro,9.89
2024-02-22,Spotify,10.97
2024-02-22,Gym Membership,49.82
2024-02-24,Shell Gas Station,32.23
2024-02-24,PlayStation Plus,17.84
2024-02-24,GitHub Pro,3.97
2024-02-25,Airbnb Booking,326.14
2024-02-25,Disney+,14.1
2024-02-25,iCloud Storage,3.0
2024-02-26,Slack Workspace,8.76
2024-02-27,Starbucks Coffee,5.51
2024-02-27,Substack VIP,8.07
2024-02-27,AWS Hosting,44.87
2024-02-27,Netflix,16.11
2024-02-27,Google One,2.01
2024-02-27,Starbucks Coffee,5.16
2024-02-28,iCloud Storage,3.02
2024-02-28,Netflix,16.09
2024-02-28,Slack Workspace,8.71
2024-02-29,NYTimes Digital,3.95
2024-03-01,AWS Hosting,44.98
2024-03-01,Slack Workspace,8.69
2024-03-01,Gym Membership,50.3
2024-03-01,ChatGPT Plus,19.99
2024-03-01,Adobe Creative Cloud,55.4
2024-03-01,Disney+,13.96
2024-03-01,AWS Hosting,45.58
2024-03-02,Slack Workspace,8.53
2024-03-03,Adobe Creative Cloud,55.1
2024-03-03,Substack VIP,8.01
2024-03-03,NYTimes Digital,3.96
2024-03-03,Google One,2.0
2024-03-04,Netflix,15.95
2024-03-04,Gym Membership,49.65
2024-03-04,Notion Pro,10.2
2024-03-04,AWS Hosting,44.63
2024-03-04,Notion Pro,9.85
2024-03-05,ChatGPT Plus,19.83
2024-03-06,Substack VIP,7.85
2024-03-06,Spotify,10.85
2024-03-07,GitHub Pro,4.06
2024-03-07,Slack Workspace,8.77
2024-03-07,NYTimes Digital,3.95
2024-03-08,PlayStation Plus,18.0
2024-03-08,Google One,1.98
2024-03-08,Spotify,10.84
2024-03-09,Google One,1.97
2024-03-09,Netflix,16.04
2024-03-09,Adobe Creative Cloud,54.94
2024-03-10,Spotify,10.91
2024-03-11,Airbnb Booking,303.31
2024-03-11,Disney+,14.0
2024-03-11,Uber Trip,23.41
2024-03-12,Disney+,13.9
2024-03-12,PlayStation Plus,17.98
2024-03-13,GitHub Pro,3.99
2024-03-13,Gym Membership,49.66
2024-03-13,PlayStation Plus,18.04
2024-03-13,Substack VIP,7.95
2024-03-13,Google One,1.98
2024-03-13,ChatGPT Plus,19.9
2024-03-13,GitHub Pro,3.94
2024-03-13,Adobe Creative Cloud,55.48
2024-03-14,Uber Trip,43.95
2024-03-14,Spotify,10.88
2024-03-16,iCloud Storage,3.03
2024-03-16,Substack VIP,7.94
2024-03-16,Gym Membership,50.2
2024-03-16,NYTimes Digital,4.04
2024-03-16,iCloud Storage,3.0
2024-03-16,AWS Hosting,45.4
2024-03-16,ChatGPT Plus,19.77
2024-03-16,Adobe Creative Cloud,54.6
2024-03-16,Disney+,13.86
2024-03-17,Notion Pro,9.85
2024-03-18,Trader Joe's,40.67
2024-03-18,Netflix,15.94
2024-03-18,Target Store,74.8
2024-03-18,ChatGPT Plus,20.01
2024-03-19,iCloud Storage,3.04
2024-03-19,Notion Pro,10.17
2024-03-19,Best Buy,242.16
2024-03-19,GitHub Pro,3.97
2024-03-20,PlayStation Plus,18.24
2024-03-20,Best Buy,181.72
2024-03-21,Local Restaurant,81.78
2024-03-22,Trader Joe's,98.78
2024-03-22,NYTimes Digital,3.97
2024-03-22,Notion Pro,10.01
2024-03-23,Spotify,10.84
2024-03-24,Gym Membership,50.17
2024-03-26,GitHub Pro,3.94
2024-03-26,iCloud Storage,3.0
2024-03-26,CVS Pharmacy,20.44
2024-03-26,Disney+,14.21
2024-03-26,Slack Workspace,8.56
2024-03-27,Netflix,15.95
2024-03-27,PlayStation Plus,18.06
2024-03-28,Google One,1.95
2024-03-28,AWS Hosting,45.5
2024-03-29,iCloud Storage,3.05
2024-03-29,Substack VIP,7.99
2024-03-29,Netflix,16.15
2024-03-30,Adobe Creative Cloud,54.78
2024-03-30,Best Buy,197.09
2024-03-30,NYTimes Digital,4.06
2024-03-30,Slack Workspace,8.8
2024-03-30,AWS Hosting,44.31
2024-03-31,Adobe Creative Cloud,54.16
2024-03-31,Gym Membership,51.02
2024-03-31,Disney+,13.95
2024-03-31,Slack Workspace,8.77
2024-03-31,Slack Workspace,8.6
2024-04-01,ChatGPT Plus,19.89
2024-04-01,AWS Hosting,45.87
2024-04-01,Starbucks Coffee,11.45
2024-04-02,Google One,2.03
2024-04-02,NYTimes Digital,4.01
2024-04-02,Amazon Retail,49.04
2024-04-02,CVS Pharmacy,20.87
2024-04-02,AWS Hosting,44.39
2024-04-03,ChatGPT Plus,20.16
2024-04-03,Netflix,16.07
2024-04-03,Notion Pro,10.0
2024-04-03,Notion Pro,9.98
2024-04-03,Substack VIP,7.94
2024-04-03,Gym Membership,49.98
2024-04-04,Best Buy,271.29
2024-04-04,Substack VIP,7.92
2024-04-05,Slack Workspace,8.68
2024-04-05,Spotify,10.77
2024-04-06,Best Buy,55.99
2024-04-06,GitHub Pro,3.97
2024-04-07,PlayStation Plus,17.84
2024-04-07,Adobe Creative Cloud,54.97
2024-04-07,Spotify,10.99
2024-04-07,Google One,1.94
2024-04-08,Netflix,15.67
2024-04-08,Google One,2.0
2024-04-08,Airbnb Booking,164.12
2024-04-08,NYTimes Digital,4.03
2024-04-09,Disney+,13.99
2024-04-10,Spotify,11.02
2024-04-10,Disney+,14.2
2024-04-11,PlayStation Plus,17.78
2024-04-12,PlayStation Plus,17.92
2024-04-12,Shell Gas Station,48.58
2024-04-12,Gym Membership,50.01
2024-04-12,Adobe Creative Cloud,55.04
2024-04-12,Google One,1.97
2024-04-12,GitHub Pro,4.01
2024-04-12,Substack VIP,8.07
2024-04-13,GitHub Pro,4.01
2024-04-13,Adobe Creative Cloud,55.09
2024-04-13,ChatGPT Plus,20.38
2024-04-14,Spotify,10.96
2024-04-14,ChatGPT Plus,20.17
2024-04-14,NYTimes Digital,4.06
2024-04-15,Substack VIP,7.92
2024-04-15,DoorDash Order,51.45
2024-04-15,Gym Membership,50.58
2024-04-15,AWS Hosting,45.41
2024-04-16,iCloud Storage,2.96
2024-04-16,iCloud Storage,2.99
2024-04-16,Disney+,13.86
2024-04-17,ChatGPT Plus,20.02
2024-04-17,Trader Joe's,49.56
2024-04-17,GitHub Pro,4.02
2024-04-17,Notion Pro,9.97
2024-04-17,Netflix,15.89
2024-04-18,CVS Pharmacy,40.18
2024-04-18,iCloud Storage,3.02
2024-04-18,Uber Trip,28.9
2024-04-18,Notion Pro,10.03
2024-04-19,Best Buy,256.13
2024-04-20,NYTimes Digital,3.98
2024-04-20,PlayStation Plus,17.81
2024-04-22,Spotify,10.91
2024-04-23,Gym Membership,50.05
2024-04-23,Target Store,107.67
2024-04-23,Amazon Retail,35.4
2024-04-23,Notion Pro,10.01
2024-04-23,GitHub Pro,4.07
2024-04-25,Slack Workspace,8.65
2024-04-26,AWS Hosting,44.82
2024-04-26,Disney+,14.08
2024-04-26,Netflix,15.77
2024-04-26,PlayStation Plus,17.96
2024-04-26,iCloud Storage,2.93
2024-04-26,Uber Trip,31.04
2024-04-27,Netflix,16.14
2024-04-27,Trader Joe's,38.72
2024-04-27,Google One,1.99
2024-04-28,Substack VIP,7.95
2024-04-28,Trader Joe's,25.66
2024-04-28,iCloud Storage,3.03
2024-04-29,NYTimes Digital,4.02
2024-04-29,Slack Workspace,8.86
2024-04-29,Adobe Creative Cloud,54.62
2024-04-30,AWS Hosting,45.28
2024-04-30,Slack Workspace,8.72
2024-04-30,Gym Membership,49.67
2024-04-30,Disney+,14.02
2024-04-30,Slack Workspace,8.97
2024-05-01,ChatGPT Plus,20.21
2024-05-01,Adobe Creative Cloud,54.53
2024-05-01,AWS Hosting,45.16
2024-05-01,CVS Pharmacy,37.09
2024-05-02,Substack VIP,8.01
2024-05-02,Notion Pro,9.92
2024-05-02,Google One,1.99
2024-05-02,ChatGPT Plus,20.03
2024-05-03,Gym Membership,49.66
2024-05-03,Netflix,15.98
2024-05-03,Substack VIP,7.94
2024-05-03,NYTimes Digital,3.91
2024-05-03,Notion Pro,9.84
2024-05-03,AWS Hosting,44.4
2024-05-05,Spotify,11.05
2024-05-05,Slack Workspace,8.72
2024-05-05,Starbucks Coffee,6.31
2024-05-06,Google One,1.97
2024-05-06,PlayStation Plus,18.37
2024-05-06,GitHub Pro,3.95
2024-05-07,Adobe Creative Cloud,55.6
2024-05-07,CVS Pharmacy,9.86
2024-05-07,Spotify,10.86
2024-05-08,Google One,1.99
2024-05-08,Netflix,15.91
2024-05-08,NYTimes Digital,4.02
2024-05-08,Spotify,10.92
2024-05-09,Trader Joe's,104.12
2024-05-09,Disney+,13.92
2024-05-09,CVS Pharmacy,13.67
2024-05-10,Disney+,13.92
2024-05-10,Starbucks Coffee,7.14
2024-05-11,Airbnb Booking,289.09
2024-05-11,GitHub Pro,4.01
2024-05-11,PlayStation Plus,18.19
2024-05-11,Delta Airlines,412.21
2024-05-11,Google One,2.0
2024-05-11,Shell Gas Station,51.03
2024-05-12,GitHub Pro,3.92
2024-05-12,PlayStation Plus,17.74
2024-05-12,Substack VIP,8.03
2024-05-12,Adobe Creative Cloud,55.58
2024-05-12,Gym Membership,49.24
2024-05-13,Adobe Creative Cloud,54.81
2024-05-13,CVS Pharmacy,31.49
2024-05-14,ChatGPT Plus,20.21
2024-05-14,Gym Membership,51.28
2024-05-14,iCloud Storage,2.95
2024-05-14,Spotify,11.12
2024-05-14,NYTimes Digital,3.99
2024-05-15,ChatGPT Plus,19.81
2024-05-15,Disney+,13.98
2024-05-15,AWS Hosting,44.69
2024-05-15,Substack VIP,7.93
2024-05-16,Notion Pro,10.01
2024-05-16,Netflix,15.91
2024-05-16,iCloud Storage,2.94
2024-05-17,Target Store,44.71
2024-05-17,GitHub Pro,3.97
2024-05-18,Notion Pro,10.17
2024-05-18,Uber Trip,40.73
2024-05-18,ChatGPT Plus,20.39
2024-05-18,iCloud Storage,2.92
2024-05-19,Uber Trip,42.55
2024-05-19,Uber Trip,43.77
2024-05-20,PlayStation Plus,17.85
2024-05-21,Spotify,11.01
2024-05-21,Notion Pro,10.02
2024-05-22,NYTimes Digital,3.95
2024-05-23,GitHub Pro,4.03
2024-05-23,Gym Membership,49.5
2024-05-24,Starbucks Coffee,8.02
2024-05-24,Slack Workspace,8.6
2024-05-25,iCloud Storage,2.96
2024-05-25,Starbucks Coffee,5.18
2024-05-25,PlayStation Plus,18.03
2024-05-26,AWS Hosting,45.12
2024-05-26,Google One,1.99
2024-05-27,Netflix,15.83
2024-05-27,Disney+,13.78
2024-05-27,Substack VIP,7.98
2024-05-28,iCloud Storage,3.04
2024-05-28,Netflix,15.96
2024-05-28,Adobe Creative Cloud,54.94
2024-05-29,AWS Hosting,45.16
2024-05-29,Gym Membership,49.96
2024-05-29,NYTimes Digital,3.99
2024-05-29,AWS Hosting,44.98
2024-05-29,Slack Workspace,8.79
2024-05-30,Slack Workspace,8.7
2024-05-30,Adobe Creative Cloud,55.08
2024-05-31,ChatGPT Plus,19.8
2024-05-31,Disney+,13.93
2024-05-31,Slack Workspace,8.58
2024-06-01,Notion Pro,10.09
2024-06-01,Google One,1.98
2024-06-01,Notion Pro,10.1
2024-06-01,NYTimes Digital,4.03
2024-06-01,AWS Hosting,44.78
2024-06-02,Substack VIP,8.08
2024-06-02,ChatGPT Plus,20.11
2024-06-02,Gym Membership,50.38
2024-06-02,Netflix,15.92
2024-06-03,Slack Workspace,8.81
2024-06-03,Substack VIP,8.09
2024-06-05,Spotify,11.09
2024-06-05,Uber Trip,23.51
2024-06-05,NYTimes Digital,4.06
2024-06-06,Google One,1.95
2024-06-06,Google One,2.0
2024-06-06,PlayStation Plus,18.18
2024-06-06,CVS Pharmacy,41.14
2024-06-07,Spotify,11.12
2024-06-07,Adobe Creative Cloud,56.18
2024-06-07,GitHub Pro,4.0
2024-06-08,Netflix,15.9
2024-06-08,Spotify,11.09
2024-06-09,PlayStation Plus,18.07
2024-06-09,Disney+,13.94
2024-06-09,Disney+,13.75
2024-06-10,GitHub Pro,4.03
2024-06-11,Google One,1.98
2024-06-11,ChatGPT Plus,19.83
2024-06-11,Adobe Creative Cloud,54.71
2024-06-11,PlayStation Plus,18.11
2024-06-11,Substack VIP,7.82
2024-06-12,Gym Membership,50.73
2024-06-12,Best Buy,176.74
2024-06-12,Spotify,11.05
2024-06-12,GitHub Pro,4.04
2024-06-13,NYTimes Digital,3.97
2024-06-14,Gym Membership,49.59
2024-06-14,iCloud Storage,3.0
2024-06-14,ChatGPT Plus,20.24
2024-06-14,Adobe Creative Cloud,54.65
2024-06-14,Substack VIP,7.99
2024-06-14,AWS Hosting,44.25
2024-06-15,Disney+,14.12
2024-06-16,Netflix,15.73
2024-06-16,Notion Pro,9.95
2024-06-16,iCloud Storage,2.99
2024-06-17,iCloud Storage,2.97
2024-06-17,GitHub Pro,3.99
2024-06-18,Notion Pro,9.91
2024-06-18,ChatGPT Plus,20.04
2024-06-19,PlayStation Plus,18.12
2024-06-20,NYTimes Digital,3.97
2024-06-21,Spotify,10.78
2024-06-22,Notion Pro,10.03
2024-06-22,Gym Membership,49.54
2024-06-23,GitHub Pro,4.02
2024-06-24,Starbucks Coffee,6.31
2024-06-24,Slack Workspace,8.68
2024-06-24,PlayStation Plus,18.01
2024-06-24,iCloud Storage,3.01
2024-06-25,Google One,1.97
2024-06-25,Netflix,16.3
2024-06-25,AWS Hosting,45.68
2024-06-25,Disney+,14.07
2024-06-26,Netflix,15.89
2024-06-27,Substack VIP,7.93
2024-06-27,iCloud Storage,2.98
2024-06-28,NYTimes Digital,4.0
2024-06-28,Adobe Creative Cloud,55.14
2024-06-28,AWS Hosting,44.99
2024-06-28,Slack Workspace,8.59
2024-06-28,Delta Airlines,341.23
2024-06-29,Slack Workspace,8.83
2024-06-29,Disney+,14.08
2024-06-29,Slack Workspace,8.73
2024-06-30,AWS Hosting,45.39
2024-06-30,ChatGPT Plus,19.69
2024-06-30,Gym Membership,49.75
2024-06-30,Adobe Creative Cloud,54.89
2024-07-01,Gym Membership,49.71
2024-07-01,NYTimes Digital,4.0
2024-07-02,ChatGPT Plus,20.17
2024-07-02,Substack VIP,8.17
2024-07-02,Notion Pro,9.95
2024-07-02,Notion Pro,10.17
2024-07-02,Google One,2.0
2024-07-03,AWS Hosting,45.26
2024-07-03,Netflix,16.11
2024-07-03,Spotify,10.95
2024-07-04,Substack VIP,7.99
2024-07-04,Slack Workspace,8.92
2024-07-04,Google One,2.01
2024-07-05,Spotify,10.94
2024-07-06,NYTimes Digital,4.04
2024-07-06,Google One,1.99
2024-07-06,GitHub Pro,4.01
2024-07-06,Adobe Creative Cloud,55.36
2024-07-07,PlayStation Plus,17.85
2024-07-08,Disney+,13.9
2024-07-08,Netflix,15.91
2024-07-08,Spotify,10.94
2024-07-10,Disney+,14.01
2024-07-10,Gym Membership,49.74
2024-07-10,PlayStation Plus,17.99
2024-07-10,Shell Gas Station,35.35
2024-07-11,GitHub Pro,4.02
2024-07-11,Google One,2.0
2024-07-11,ChatGPT Plus,19.76
2024-07-11,Best Buy,271.06
2024-07-11,Airbnb Booking,357.75
2024-07-12,Substack VIP,8.02
2024-07-12,Spotify,11.11
2024-07-12,GitHub Pro,3.99
2024-07-12,Adobe Creative Cloud,55.77
2024-07-12,PlayStation Plus,18.06
2024-07-13,Adobe Creative Cloud,55.99
2024-07-13,iCloud Storage,2.94
2024-07-13,NYTimes Digital,4.02
2024-07-14,ChatGPT Plus,20.13
2024-07-14,AWS Hosting,45.04
2024-07-14,Disney+,14.09
2024-07-14,Notion Pro,10.04
2024-07-14,Substack VIP,7.99
2024-07-15,Gym Membership,50.29
2024-07-15,iCloud Storage,2.99
2024-07-16,Netflix,16.02
2024-07-17,ChatGPT Plus,19.84
2024-07-17,iCloud Storage,2.98
2024-07-17,Notion Pro,9.82
2024-07-17,GitHub Pro,4.03
2024-07-18,Best Buy,235.99
2024-07-19,Trader Joe's,25.53
2024-07-19,PlayStation Plus,17.83
2024-07-20,NYTimes Digital,3.92
2024-07-21,Spotify,11.03
2024-07-22,Gym Membership,49.46
2024-07-22,Notion Pro,9.82
2024-07-23,PlayStation Plus,18.03
2024-07-24,GitHub Pro,3.92
2024-07-24,Target Store,71.72
2024-07-24,Slack Workspace,8.94
2024-07-25,Google One,1.98
2024-07-25,DoorDash Order,31.71
2024-07-25,Disney+,14.04
2024-07-25,iCloud Storage,3.0
2024-07-25,Target Store,101.21
2024-07-26,AWS Hosting,45.21
2024-07-26,Netflix,15.97
2024-07-26,Substack VIP,8.0
2024-07-27,Netflix,16.04
2024-07-27,NYTimes Digital,4.06
2024-07-27,iCloud Storage,2.96
2024-07-28,Amazon Retail,72.97
2024-07-28,AWS Hosting,44.57
2024-07-28,Disney+,13.91
2024-07-28,Slack Workspace,8.77
2024-07-29,Gym Membership,49.51
2024-07-29,Adobe Creative Cloud,54.74
2024-07-29,Slack Workspace,8.73
2024-07-29,AWS Hosting,44.89
2024-07-30,Adobe Creative Cloud,54.02
2024-07-30,Google One,1.97
2024-07-30,ChatGPT Plus,20.56
2024-07-30,Substack VIP,8.05
2024-07-30,Slack Workspace,8.81
2024-07-31,Netflix,15.84
2024-07-31,NYTimes Digital,3.99
2024-08-01,Gym Membership,49.9
2024-08-01,Notion Pro,9.96
2024-08-01,Notion Pro,9.85
2024-08-01,AWS Hosting,44.38
2024-08-01,ChatGPT Plus,20.19
2024-08-02,Substack VIP,8.03
2024-08-02,Slack Workspace,8.68
2024-08-02,Delta Airlines,335.56
2024-08-03,Spotify,10.96
2024-08-04,Airbnb Booking,236.65
2024-08-05,GitHub Pro,4.07
2024-08-05,PlayStation Plus,17.89
2024-08-05,Google One,1.98
2024-08-05,NYTimes Digital,3.97
2024-08-05,Netflix,16.03
2024-08-06,Spotify,10.92
2024-08-06,Adobe Creative Cloud,54.42
2024-08-06,Uber Trip,40.04
2024-08-07,Spotify,10.99
2024-08-07,Google One,2.0
2024-08-07,Disney+,13.9
2024-08-08,Starbucks Coffee,7.4
2024-08-08,Disney+,13.98
2024-08-09,GitHub Pro,4.03
2024-08-09,Google One,2.01
2024-08-10,PlayStation Plus,17.96
2024-08-10,Adobe Creative Cloud,55.5
2024-08-10,Gym Membership,50.27
2024-08-11,PlayStation Plus,18.03
2024-08-11,GitHub Pro,3.98
2024-08-11,ChatGPT Plus,19.68
2024-08-11,Spotify,10.8
2024-08-11,Substack VIP,8.06
2024-08-12,NYTimes Digital,4.09
2024-08-12,Adobe Creative Cloud,54.82
2024-08-12,ChatGPT Plus,20.32
2024-08-12,Gym Membership,50.07
2024-08-13,iCloud Storage,2.99
2024-08-13,Substack VIP,8.03
2024-08-13,AWS Hosting,44.82
2024-08-13,Trader Joe's,89.28
2024-08-13,Disney+,13.74
2024-08-13,Starbucks Coffee,9.13
2024-08-13,Best Buy,220.65
2024-08-13,Notion Pro,9.88
2024-08-14,iCloud Storage,2.99
2024-08-15,Trader Joe's,103.02
2024-08-16,Uber Trip,34.81
2024-08-16,Notion Pro,10.09
2024-08-16,GitHub Pro,4.01
2024-08-16,ChatGPT Plus,20.04
2024-08-16,Netflix,16.03
2024-08-16,iCloud Storage,2.99
2024-08-18,Delta Airlines,551.01
2024-08-19,Trader Joe's,105.22
2024-08-19,NYTimes Digital,4.03
2024-08-19,PlayStation Plus,18.39
2024-08-20,Notion Pro,10.03
2024-08-20,Trader Joe's,43.63
2024-08-20,Gym Membership,49.02
2024-08-21,GitHub Pro,4.0
2024-08-21,Spotify,10.89
2024-08-22,Slack Workspace,8.77
2024-08-22,DoorDash Order,26.13
2024-08-23,Starbucks Coffee,7.1
2024-08-24,iCloud Storage,2.97
2024-08-24,PlayStation Plus,18.39
2024-08-24,Substack VIP,7.93
2024-08-24,Disney+,14.14
2024-08-25,Google One,2.02
2024-08-25,Trader Joe's,70.24
2024-08-25,Netflix,15.88
2024-08-25,Airbnb Booking,287.96
2024-08-26,Netflix,16.15
2024-08-26,AWS Hosting,45.66
2024-08-27,iCloud Storage,2.97
2024-08-27,NYTimes Digital,4.12
2024-08-27,Slack Workspace,8.75
2024-08-27,Adobe Creative Cloud,55.1
2024-08-27,AWS Hosting,45.46
2024-08-27,AWS Hosting,45.65
2024-08-28,Disney+,13.84
2024-08-28,Adobe Creative Cloud,55.27
2024-08-28,Slack Workspace,8.68
2024-08-28,Slack Workspace,8.73
2024-08-29,Gym Membership,49.5
2024-08-29,ChatGPT Plus,20.06
2024-08-29,NYTimes Digital,4.02
2024-08-30,Netflix,15.91
2024-08-30,Substack VIP,7.96
2024-08-30,Google One,1.99
2024-08-31,Notion Pro,9.9
2024-08-31,Notion Pro,9.95
2024-08-31,AWS Hosting,45.65
2024-08-31,Gym Membership,49.76
2024-08-31,ChatGPT Plus,19.85
2024-09-01,Spotify,10.85
2024-09-02,Slack Workspace,8.78
2024-09-02,Substack VIP,8.06
2024-09-04,PlayStation Plus,18.03
2024-09-04,GitHub Pro,4.04
2024-09-04,Trader Joe's,52.26
2024-09-04,Google One,1.99
2024-09-04,Airbnb Booking,179.27
2024-09-04,Spotify,11.14
2024-09-04,Google One,1.99
2024-09-04,NYTimes Digital,3.91
2024-09-05,Netflix,15.68
2024-09-06,Spotify,10.8
2024-09-06,Disney+,14.17
2024-09-06,Adobe Creative Cloud,54.87
2024-09-07,Disney+,14.06
2024-09-07,PlayStation Plus,17.87
2024-09-08,Amazon Retail,62.4
2024-09-08,Adobe Creative Cloud,55.16
2024-09-09,GitHub Pro,4.01
2024-09-09,Google One,1.98
2024-09-09,Substack VIP,7.92
2024-09-09,CVS Pharmacy,32.36
2024-09-10,Spotify,10.96
2024-09-10,PlayStation Plus,18.22
2024-09-10,GitHub Pro,4.0
2024-09-10,Gym Membership,49.11
2024-09-11,NYTimes Digital,3.99
2024-09-11,ChatGPT Plus,19.9
2024-09-11,Adobe Creative Cloud,54.63
2024-09-11,ChatGPT Plus,20.05
2024-09-11,Substack VIP,8.0
2024-09-12,Gym Membership,50.65
2024-09-12,Notion Pro,10.02
2024-09-13,iCloud Storage,3.0
2024-09-13,Disney+,14.03
2024-09-13,iCloud Storage,2.97
2024-09-13,AWS Hosting,45.66
2024-09-13,Netflix,16.12
2024-09-14,Shell Gas Station,30.32
2024-09-14,iCloud Storage,2.95
2024-09-15,ChatGPT Plus,20.32
2024-09-16,Notion Pro,9.87
2024-09-16,GitHub Pro,3.91
2024-09-18,PlayStation Plus,18.07
2024-09-19,NYTimes Digital,4.08
2024-09-19,Notion Pro,10.04
2024-09-19,Spotify,11.04
2024-09-21,CVS Pharmacy,36.93
2024-09-21,Gym Membership,49.63
2024-09-21,DoorDash Order,44.03
2024-09-22,Slack Workspace,8.79
2024-09-22,iCloud Storage,2.99
2024-09-22,GitHub Pro,3.99
2024-09-22,Delta Airlines,178.13
2024-09-23,Disney+,14.15
2024-09-23,Google One,2.0
2024-09-23,Netflix,15.91
2024-09-23,PlayStation Plus,17.92
2024-09-23,Amazon Retail,96.71
2024-09-23,Delta Airlines,466.95
2024-09-24,Substack VIP,7.97
2024-09-24,Netflix,15.96
2024-09-25,iCloud Storage,2.95
2024-09-25,AWS Hosting,45.6
2024-09-25,Adobe Creative Cloud,55.4
2024-09-25,Trader Joe's,71.31
2024-09-25,AWS Hosting,44.24
2024-09-26,Slack Workspace,8.76
2024-09-27,NYTimes Digital,3.98
2024-09-27,Slack Workspace,8.78
2024-09-27,Disney+,14.09
2024-09-27,Gym Membership,50.22
2024-09-27,AWS Hosting,45.14
2024-09-28,Adobe Creative Cloud,54.88
2024-09-28,Slack Workspace,8.86
2024-09-28,ChatGPT Plus,19.95
2024-09-29,Local Restaurant,77.37
2024-09-29,Google One,1.97
2024-09-29,Local Restaurant,39.38
2024-09-29,Substack VIP,7.98
2024-09-29,NYTimes Digital,3.99
2024-09-29,AWS Hosting,45.29
2024-09-30,Netflix,16.02
